direction,exposure_abbr,exposure,outcome_abbr,outcome,method,nsnp,b,se,pval,lo95,hi95,OR,OR_lo95,OR_hi95,F_mean,F_min,Q,Q_pval,I2,egger_intercept,egger_intercept_pval,note,pval_FDR_BH,pval_Bonferroni,sig_nominal
forward,NEUT,Neutrophil count,DISCINF,Pyogenic intervertebral disc infection,IVW (random effects),29,0.4989971590554882,0.4308726857300253,0.2468199138769257,-0.3455133049753613,1.343507623086338,1.647068694277931,0.7078569137224076,3.832462791674125,112.94904673089827,30.41066943397951,37.61870613583411,0.1058322748510046,25.5689446125626,-0.0461078773927211,0.2488899082479656,"Q=37.619, df=28",0.6144272967495193,1.0,False
forward,WBC,White blood cell (leukocyte) count,DISCINF,Pyogenic intervertebral disc infection,IVW (random effects),28,0.4837819584803168,0.3918695132471907,0.2169985490813588,-0.2842822874841769,1.2518462044448109,1.6221979005926357,0.7525541780936335,3.4967927961722616,116.14549422779368,30.303282831694645,28.77009975535617,0.3721347449529331,6.152567319571535,-0.0423335671812729,0.2702709753058235,"Q=28.770, df=27",0.6144272967495193,1.0,False
forward,CCL2,CCL2 / MCP-1 measurement,SPONDINF,Other infective spondylopathies,IVW (random effects),7,-1.2382806442323802,0.5875443326324419,0.0350696987003457,-2.389867536191966,-0.0866937522727941,0.2898822003450059,0.0916418222982931,0.9169578689011648,107.02019170886231,29.81949336425167,6.82817942874634,0.3370299018094977,12.128846896725364,0.1576441957333835,0.3901656948233546,"Q=6.828, df=6",0.5260454805051855,1.0,True
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,SPONDINF,Other infective spondylopathies,IVW (random effects),3,-0.1201072195205454,0.4058087231028064,0.7672529699592715,-0.915492316802046,0.6752778777609552,0.8868253466310186,0.4003194935561068,1.96457881289011,528.4267457775946,49.72808258864325,0.3289332147326593,0.8483460849814044,0.0,-0.1182163422262099,0.6919980413796732,"Q=0.329, df=2",0.8631595912041805,1.0,False
forward,CRP,C-reactive protein measurement,SPONDINF,Other infective spondylopathies,IVW (random effects),13,-0.5761005623707665,0.7350966675506229,0.4332119277637315,-2.0168900307699875,0.8646889060284544,0.5620859176621441,0.1330686616760302,2.3742673508153658,92.15894014471976,32.327196698420515,20.90797809525615,0.0517443160640189,42.60564103650605,-0.0162658261333224,0.9218291444269724,"Q=20.908, df=12",0.6855602787864992,1.0,False
forward,EOS,Eosinophil count,SPONDINF,Other infective spondylopathies,IVW (random effects),13,-1.3162556748990355,1.333956112088874,0.3237745923944829,-3.930809654593229,1.2982983047951573,0.2681374183362915,0.0196277744002295,3.6630579527758655,92.4822061189762,33.51133189166632,10.174351381906671,0.6006680062440966,0.0,-0.140511956503168,0.4904979272538121,"Q=10.174, df=12",0.6144272967495193,1.0,False
forward,IL6R,Interleukin-6 receptor subunit alpha measurement,SPONDINF,Other infective spondylopathies,IVW (random effects),4,-0.5747915505249105,0.3324856722920243,0.0838501086318732,-1.226463468217278,0.0768803671674572,0.5628221765674346,0.2933281096883217,1.079912875628217,430.7785596184135,61.14063288814258,0.504683948469493,0.9178611701419246,0.0,-0.2124428332122396,0.725097099310613,"Q=0.505, df=3",0.6144272967495193,1.0,False
forward,LYMPH,Lymphocyte count,SPONDINF,Other infective spondylopathies,IVW (random effects),18,-0.4577340450643161,1.1895531961994077,0.700389351864501,-2.789258309615155,1.8737902194865228,0.6327157277033814,0.0614667863370108,6.512935130336722,101.52346598770178,31.52982846010276,16.089290106492896,0.5175140727192459,0.0,-0.0937912973567519,0.3873532110520076,"Q=16.089, df=17",0.8631595912041805,1.0,False
forward,MONO,Monocyte count,SPONDINF,Other infective spondylopathies,IVW (random effects),39,-1.3146669699091988,0.8858565544857315,0.1377921976877171,-3.0509458167012324,0.4216118768828349,0.2685637481572505,0.0473141527057408,1.524416748469419,79.80564683549846,29.766264422580456,38.477173608784376,0.4478895323922616,1.2401472458347025,0.0293338959872243,0.729897071852128,"Q=38.477, df=38",0.6144272967495193,1.0,False
forward,NEUT,Neutrophil count,SPONDINF,Other infective spondylopathies,IVW (random effects),29,-2.263697876125058,0.8680996939300294,0.0091166820168443,-3.9651732762279153,-0.5622224760222003,0.1039653221692187,0.0189647501873326,0.5699409750711649,112.94904673089827,30.41066943397951,22.941218474359275,0.7359765157855769,0.0,-0.0029630016027135,0.9705891573616652,"Q=22.941, df=28",0.20512534537899674,0.4102506907579935,True
